,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,day,hour,minute,day_minute,cumulative_hour,cumulative_minute,weekend
14392,2015-02-14 02:31:59,19.79,36.29,0.0,503.5,0.0051854284286976795,0,14,2,32,152,276,16573,1
14393,2015-02-14 02:32:59,19.79,36.29,0.0,507.0,0.0051854284286976795,0,14,2,33,153,276,16574,1
14394,2015-02-14 02:34:00,19.79,36.29,0.0,503.0,0.0051854284286976795,0,14,2,34,154,276,16575,1
14395,2015-02-14 02:35:00,19.79,36.29,0.0,501.0,0.0051854284286976795,0,14,2,35,155,276,16576,1
14396,2015-02-14 02:36:00,19.76,36.363333333333294,0.0,503.666666666667,0.00518625022500445,0,14,2,36,156,276,16577,1
14397,2015-02-14 02:37:00,19.79,36.4,0.0,510.0,0.0052012776128288795,0,14,2,37,157,276,16578,1
14398,2015-02-14 02:38:00,19.73,36.4,0.0,506.333333333333,0.005181785346180729,0,14,2,38,158,276,16579,1
14399,2015-02-14 02:38:59,19.79,36.4,0.0,506.75,0.0052012776128288795,0,14,2,39,159,276,16580,1
14400,2015-02-14 02:39:59,19.79,36.4,0.0,504.0,0.0052012776128288795,0,14,2,40,160,276,16581,1
14401,2015-02-14 02:41:00,19.745,36.4,0.0,508.0,0.0051866523439431204,0,14,2,41,161,276,16582,1
14402,2015-02-14 02:42:00,19.79,36.345,0.0,503.5,0.005193352920636,0,14,2,42,162,276,16583,1
14403,2015-02-14 02:43:00,19.79,36.4,0.0,501.0,0.0052012776128288795,0,14,2,43,163,276,16584,1
14404,2015-02-14 02:44:00,19.79,36.4,0.0,501.0,0.0052012776128288795,0,14,2,44,164,276,16585,1
14405,2015-02-14 02:44:59,19.79,36.4,0.0,499.333333333333,0.0052012776128288795,0,14,2,45,165,276,16586,1
14406,2015-02-14 02:45:59,19.745,36.4,0.0,503.5,0.0051866523439431204,0,14,2,46,166,276,16587,1
14407,2015-02-14 02:47:00,19.79,36.4,0.0,503.5,0.0052012776128288795,0,14,2,47,167,276,16588,1
14408,2015-02-14 02:48:00,19.79,36.4,0.0,504.0,0.0052012776128288795,0,14,2,48,168,276,16589,1
14409,2015-02-14 02:49:00,19.79,36.345,0.0,506.5,0.005193352920636,0,14,2,49,169,276,16590,1
14410,2015-02-14 02:50:00,19.79,36.4,0.0,509.5,0.0052012776128288795,0,14,2,50,170,276,16591,1
14411,2015-02-14 02:51:00,19.79,36.4,0.0,505.0,0.0052012776128288795,0,14,2,51,171,276,16592,1
14412,2015-02-14 02:51:59,19.79,36.45,0.0,499.5,0.00520848205223975,0,14,2,52,172,276,16593,1
14413,2015-02-14 02:53:00,19.79,36.4,0.0,503.5,0.0052012776128288795,0,14,2,53,173,276,16594,1
14414,2015-02-14 02:54:00,19.79,36.4,0.0,505.0,0.0052012776128288795,0,14,2,54,174,276,16595,1
14415,2015-02-14 02:55:00,19.79,36.433333333333294,0.0,505.666666666667,0.00520608055404623,0,14,2,55,175,276,16596,1
